name,Sa,Sz,Str,Spc,Sdr,Sq,Ssk,Sku,Sp,Sv,Sal,Std,Sdq,Spd,Sk,Spk,Svk,Smr1,Smr2,Sxp,Vvv,Vvc,Vmp,Vmc,Area size
Image2402,0.509,15.675,0.091,604.997,0.03454,0.841,2.291,17.011,8.296,7.379,15.560,22.900,0.274,33824.132,1.116,1.794,0.955,15.563,90.622,2.283,0.074,0.751,0.106,0.428,373424.654
Image2403,0.545,18.936,0.081,546.157,0.04195,0.841,1.300,12.813,10.842,8.094,16.109,22.700,0.306,33402.740,1.215,1.663,1.015,16.257,88.977,2.179,0.088,0.878,0.089,0.484,373424.654
Image2404,0.456,18.983,0.631,616.743,0.04455,0.728,1.785,17.228,10.962,8.021,14.177,23.300,0.313,31851.371,1.051,1.373,0.942,15.338,89.502,1.790,0.077,0.673,0.079,0.402,373424.654
Image2405,0.406,9.509,0.720,506.466,0.02238,0.540,0.446,5.766,3.414,6.095,16.347,103.800,0.221,26008.240,1.170,0.787,0.493,13.704,90.663,1.269,0.053,0.655,0.039,0.429,373424.654
Image2406,0.449,25.279,0.550,606.490,0.03213,0.703,3.603,49.068,14.843,10.436,16.301,96.000,0.269,31988.257,1.216,1.088,0.649,13.161,89.450,1.316,0.065,0.671,0.058,0.450,373424.654
Image2407,0.386,12.010,0.373,490.610,0.01771,0.538,1.021,7.417,5.908,6.102,18.670,16.600,0.195,27030.855,1.003,0.914,0.504,15.452,89.433,1.332,0.053,0.627,0.047,0.386,373424.654
Image2408,0.454,23.638,0.405,586.581,0.03374,0.849,5.271,64.920,15.572,8.066,16.302,27.700,0.273,30632.822,1.054,1.400,0.878,14.439,88.479,1.414,0.078,0.620,0.083,0.400,373424.654
Image2409,0.755,38.057,0.690,975.521,0.1272,1.412,1.670,23.856,20.890,17.167,16.493,75.200,0.544,40362.427,1.386,2.516,2.197,15.498,85.595,2.780,0.192,0.922,0.157,0.569,373424.654
Image2410,0.352,7.930,0.681,521.380,0.02310,0.461,0.474,4.989,3.618,4.313,14.883,90.000,0.221,33394.688,1.056,0.640,0.407,12.409,90.603,1.030,0.046,0.558,0.032,0.379,373424.654
Image2411,0.310,19.683,0.441,455.490,0.01871,0.573,5.140,75.058,13.925,5.758,14.481,62.700,0.202,26880.550,0.753,0.954,0.551,13.673,88.930,0.973,0.050,0.432,0.055,0.282,373424.654
Image2412,0.221,9.115,0.814,320.509,0.008021,0.310,1.652,21.459,5.926,3.189,17.993,0.000,0.129,29105.610,0.626,0.453,0.320,12.695,89.323,0.647,0.033,0.337,0.023,0.230,373424.654
Image2413,0.399,10.333,0.656,669.273,0.04502,0.577,-0.229,8.979,4.378,5.955,13.306,25.700,0.316,35574.119,1.015,0.843,0.873,14.572,88.536,1.247,0.077,0.613,0.042,0.386,373424.654
